2018-01-17 20:16:41 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: email]
2018-01-17 20:16:41 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: passwd]
2018-01-17 20:17:12 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 20:17:12 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //*[@title='Log me out']]
2018-01-17 20:17:13 INFO  HomePage:68 - clicked on log out button 
2018-01-17 20:17:13 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:17:13 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:17:14 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //a[@class='login']]
2018-01-17 20:17:14 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: email]
2018-01-17 20:17:14 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: passwd]
2018-01-17 20:17:45 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 20:17:45 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //*[@title='Log me out']]
2018-01-17 20:17:46 INFO  HomePage:68 - clicked on log out button 
2018-01-17 20:17:46 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:17:46 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:17:47 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //a[@class='login']]
2018-01-17 20:17:47 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: email]
2018-01-17 20:17:47 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: passwd]
2018-01-17 20:18:18 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 20:18:18 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //*[@title='Log me out']]
2018-01-17 20:18:19 INFO  HomePage:68 - clicked on log out button 
2018-01-17 20:18:19 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:39:12 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:39:14 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (217117eb8fa12ced8b7f22fef0193fd5)] -> xpath: //a[@class='login']]
2018-01-17 20:39:14 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (217117eb8fa12ced8b7f22fef0193fd5)] -> id: email]
2018-01-17 20:39:14 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (217117eb8fa12ced8b7f22fef0193fd5)] -> id: passwd]
2018-01-17 20:39:45 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 20:39:45 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (217117eb8fa12ced8b7f22fef0193fd5)] -> xpath: //*[@title='Log me out']]
2018-01-17 20:39:47 INFO  HomePage:68 - clicked on log out button 
2018-01-17 20:39:47 INFO  TC003_VerifyLoginWithDifferentRecords:57 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:39:47 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:39:48 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (217117eb8fa12ced8b7f22fef0193fd5)] -> xpath: //a[@class='login']]
